TidId,Start,Slut,Notat,EnhedsId,OprettelsesDato,Navn
24821,06-01-2007,07-01-2007,flytbar,88,06-01-2007,Elplads
24822,06-01-2007,08-01-2007,flytbar,148,28-01-2005,Elplads
24823,22-02-2007,24-02-2007,flytbar,275,07-01-2007,25 m2 Luksushytte
24825,10-01-2007,01-04-2007,flytbar,56,09-10-2006,25 m2 Luksushytte
24826,08-01-2007,10-01-2007,flytbar,278,08-01-2007,25 m2 Luksushytte
24827,16-02-2007,19-02-2007,flytbar,36,08-01-2007,15 m2 4pers
24828,08-01-2007,10-01-2007,flytbar,140,08-01-2007,Elplads
24829,08-01-2007,10-01-2007,flytbar,141,08-01-2007,Elplads
24830,07-05-2007,08-05-2007,flytbar,280,27-01-2004,25 m2 Luksushytte
24831,07-05-2007,08-05-2007,flytbar,284,27-01-2004,25 m2 Luksushytte
24832,07-05-2007,08-05-2007,flytbar,283,27-01-2004,25 m2 Luksushytte
24833,07-05-2007,08-05-2007,flytbar,282,27-01-2004,25 m2 Luksushytte
24834,07-05-2007,08-05-2007,flytbar,281,27-01-2004,25 m2 Luksushytte
24836,08-01-2007,11-01-2007,flytbar,277,08-01-2007,25 m2 Luksushytte
24838,08-01-2007,11-01-2007,flytbar,279,11-12-2006,25 m2 Luksushytte
24839,15-03-2007,18-03-2007,flytbar,283,08-01-2007,25 m2 Luksushytte
24840,08-01-2007,24-01-2007,flytbar,108,18-01-2005,Elplads
24841,08-01-2007,10-01-2007,flytbar,284,26-09-2006,25 m2 Luksushytte
24842,08-01-2007,10-01-2007,flytbar,282,26-09-2006,25 m2 Luksushytte
24843,09-01-2007,10-01-2007,flytbar,281,09-01-2007,25 m2 Luksushytte
24844,10-01-2007,12-01-2007,flytbar,275,21-08-2003,25 m2 Luksushytte
24845,10-01-2007,12-01-2007,flytbar,276,21-08-2003,25 m2 Luksushytte
24846,10-01-2007,12-01-2007,flytbar,285,21-08-2003,25 m2 Luksushytte
24847,09-01-2007,10-01-2007,flytbar,285,15-05-2003,25 m2 Luksushytte
24848,09-01-2007,10-01-2007,flytbar,275,08-11-2005,25 m2 Luksushytte
24849,01-11-2006,08-01-2007,flytbar,100,09-01-2007,Elplads
24856,05-05-2007,06-05-2007,ikke flytbar,280,09-01-2007,25 m2 Luksushytte
24857,04-05-2007,06-05-2007,ikke flytbar,39,09-01-2007,15 m2 4pers
24858,04-05-2007,06-05-2007,ikke flytbar,143,09-01-2007,Elplads
24859,04-05-2007,06-05-2007,ikke flytbar,145,09-01-2007,Elplads
24861,10-02-2007,12-02-2007,flytbar,284,17-11-2003,25 m2 Luksushytte
24864,12-01-2007,31-01-2007,flytbar,214,18-01-2005,Elplads
24865,12-01-2007,24-01-2007,flytbar,215,18-01-2005,Elplads
24866,19-01-2007,21-01-2007,flytbar,284,17-11-2003,25 m2 Luksushytte
24867,15-01-2007,19-01-2007,flytbar,275,30-03-2006,25 m2 Luksushytte
24868,11-01-2007,13-01-2007,flytbar,143,11-01-2007,Elplads
24872,16-02-2007,18-02-2007,flytbar,284,12-01-2007,25 m2 Luksushytte
24873,13-01-2007,15-01-2007,flytbar,284,06-08-2002,25 m2 Luksushytte
24874,12-01-2007,13-01-2007,flytbar,39,12-01-2007,15 m2 4pers
24875,12-01-2007,14-01-2007,flytbar,140,05-09-2003,Elplads
24876,12-01-2007,14-01-2007,flytbar,142,26-11-2006,Elplads
24877,16-06-2007,17-06-2007,flytbar,285,05-09-2003,25 m2 Luksushytte
24879,13-01-2007,15-01-2007,flytbar,141,14-01-2007,Elplads
24880,12-02-2007,16-02-2007,flytbar,274,14-01-2007,25 m2 Luksushytte
24881,16-03-2007,18-03-2007,flytbar,35,14-01-2007,15 m2 4pers
24882,01-04-2007,09-04-2007,flytbar,276,12-07-2005,25 m2 Luksushytte
24884,19-01-2007,21-01-2007,flytbar,36,11-01-2007,15 m2 4pers
24885,19-01-2007,21-01-2007,flytbar,37,11-01-2007,15 m2 4pers
24886,14-02-2007,15-02-2007,flytbar,275,06-08-2002,25 m2 Luksushytte
24888,01-06-2007,03-06-2007,flytbar,57,15-01-2007,25 m2 Luksushytte
24890,15-01-2007,18-01-2007,flytbar,279,08-01-2007,25 m2 Luksushytte
24891,01-06-2007,03-06-2007,flytbar,286,16-01-2007,25 m2 Luksushytte
24894,19-01-2007,21-01-2007,ikke flytbar,281,12-01-2007,25 m2 Luksushytte
24895,09-07-2007,14-07-2007,flytbar,144,17-01-2007,Elplads
24896,17-01-2007,21-01-2007,flytbar,140,17-01-2007,Elplads
24897,17-01-2007,19-01-2007,flytbar,141,17-01-2007,Elplads
24898,18-01-2007,20-01-2007,flytbar,35,18-01-2007,15 m2 4pers
24899,22-01-2007,24-01-2007,flytbar,275,30-03-2006,25 m2 Luksushytte
24900,29-01-2007,01-02-2007,flytbar,275,30-03-2006,25 m2 Luksushytte
24901,22-01-2007,26-01-2007,flytbar,35,06-11-2006,15 m2 4pers
24902,18-01-2007,21-01-2007,flytbar,142,18-01-2007,Elplads
24904,21-01-2007,30-04-2007,flytbar,32,06-08-2002,17 m2 4pers
24906,22-01-2007,02-02-2007,flytbar,279,18-01-2007,25 m2 Luksushytte
24908,18-01-2007,21-01-2007,flytbar,143,08-08-2003,Elplads
24909,18-01-2007,21-01-2007,flytbar,144,18-01-2007,Elplads
24910,17-05-2007,20-05-2007,flytbar,56,18-01-2007,25 m2 Luksushytte
24911,18-01-2007,21-01-2007,flytbar,145,18-01-2007,Elplads
24912,02-02-2007,04-02-2007,flytbar,277,18-01-2007,25 m2 Luksushytte
24913,18-01-2007,21-01-2007,flytbar,146,19-01-2007,Elplads
24914,18-01-2007,21-01-2007,flytbar,147,19-01-2007,Elplads
24916,19-01-2007,21-01-2007,flytbar,148,19-01-2007,Elplads
24917,19-01-2007,21-01-2007,flytbar,141,19-01-2007,Elplads
24918,19-01-2007,21-01-2007,flytbar,149,14-11-2003,Elplads
24919,19-01-2007,21-01-2007,flytbar,80,19-01-2007,Elplads
24920,19-01-2007,21-01-2007,flytbar,119,19-01-2007,Elplads
24921,19-01-2007,21-01-2007,flytbar,77,18-05-2002,Elplads
24923,19-01-2007,21-01-2007,flytbar,70,19-01-2007,Elplads
24924,20-01-2007,21-01-2007,flytbar,75,19-01-2007,Elplads
24925,19-01-2007,21-01-2007,flytbar,260,19-01-2007,Elplads
24926,19-01-2007,21-01-2007,flytbar,254,19-01-2007,Elplads
24927,20-01-2007,21-01-2007,flytbar,171,20-01-2007,Elplads
24928,19-01-2007,21-01-2007,flytbar,161,20-01-2007,Elplads
24929,19-01-2007,21-01-2007,flytbar,84,06-11-2004,Elplads
24930,29-03-2007,31-03-2007,flytbar,58,23-01-2007,25 m2 Luksushytte
