,TidId,Start,Slut,Notat,Notat,OprettelsesDato,Navn
,73319,07/04/2006,30/06/2006,flytbar,4,11/04/2003,El-plads
,74036,11/07/2006,01/08/2006,flytbar,126,18/02/2004 10.10,El-plads
,74706,07/04/2006,25/06/2006,flytbar,38,15/07/2005 15.26,El-plads
,74707,12/08/2006,22/10/2006,flytbar,38,15/07/2005 15.26,El-plads
,75235,18/07/2006,20/07/2006,flytbar,157,26/07/2005,El-plads
,75598,16/07/2006,16/08/2006,ikke flytbar,161,28/04/1995,El-plads
,76283,07/04/2006,30/06/2006,flytbar,2,06/05/2004 17.41,El-plads
,77120,06/07/2006,14/07/2006,ikke flytbar,32,16/10/2005 14.39,El-plads
,77202,07/04/2006,05/06/2006,flytbar,249,03/07/2005 13.05,El-plads
,77203,12/08/2006,18/10/2006,flytbar,249,03/07/2005 13.05,El-plads
,77299,07/04/2006,25/06/2006,flytbar,117,13/01/1998,El-plads
,77300,07/04/2006,30/06/2006,flytbar,139,30/06/2000,El-plads
,77301,07/04/2006,29/06/2006,flytbar,141,06/04/1996,El-plads
,77305,14/04/2006,30/06/2006,flytbar,72,02/05/1998,El-plads
,77314,07/04/2006,29/06/2006,flytbar,248,28/06/2003,El-plads
,77345,12/08/2006,29/10/2006,flytbar,100,16/10/2000 19.43,El-plads
,77352,17/07/2006,27/07/2006,flytbar,236,12/02/2002,El-plads
,77375,07/04/2006,06/06/2006,flytbar,251,27/07/2004,El-plads
,77380,08/04/2006,16/04/2006,flytbar,344,14/03/2005 15.42,El-plads
,77381,08/04/2006,16/04/2006,flytbar,32,14/03/2005 15.42,El-plads
,77384,28/04/2006,30/04/2006,flytbar,110,19/01/2006 11.56,El-plads
,77388,14/04/2006,30/06/2006,flytbar,143,01/07/2000,El-plads
,77396,12/08/2006,20/10/2006,flytbar,251,27/07/2004,El-plads
,77404,05/08/2006,12/08/2006,flytbar,39,25/01/2006 11.49,El-plads
,77420,08/04/2006,14/04/2006,flytbar,93,21/02/2005 11.20,El-plads
,77429,12/04/2006,19/04/2006,flytbar,94,03/02/2006 08.06,El-plads
,77430,07/04/2006,09/06/2006,flytbar,132,18/08/2000,El-plads
,77443,08/04/2006,22/04/2006,flytbar,100,08/09/1996,El-plads
,77449,08/07/2006,21/07/2006,flytbar,91,07/02/2006 09.21,El-plads
,77450,29/04/2006,12/05/2006,flytbar,236,25/10/1995,El-plads
,77459,12/04/2006,17/04/2006,flytbar,77,07/02/2006 15.23,El-plads
,77460,12/04/2006,17/04/2006,flytbar,79,07/02/2006 15.23,El-plads
,77461,12/04/2006,17/04/2006,flytbar,81,07/02/2006 15.23,El-plads
,77468,25/07/2006,08/08/2006,flytbar,88,27/01/2006 14.19,El-plads
,77469,07/04/2006,01/07/2006,flytbar,99,10/02/2006,El-plads
,77474,21/07/2006,28/07/2006,flytbar,245,09/05/2004 16.54,El-plads
,77477,17/07/2006,23/07/2006,flytbar,89,28/07/2004,El-plads
,77536,11/04/2006,29/04/2006,flytbar,62,03/04/1995,El-plads
,77542,04/05/2006,07/05/2006,flytbar,108,10/02/2005 15.43,El-plads
,77543,04/07/2006,19/07/2006,flytbar,71,11/04/2003,El-plads
,77553,12/05/2006,05/06/2006,flytbar,161,27/03/2003,El-plads
,77558,02/06/2006,04/06/2006,flytbar,28,20/02/2006,El-plads
,77559,30/05/2006,04/06/2006,flytbar,17,20/02/2006,El-plads
,77560,02/06/2006,04/06/2006,flytbar,19,20/02/2006,El-plads
,77562,02/06/2006,04/06/2006,flytbar,26,20/02/2006,El-plads
,77567,09/04/2006,16/04/2006,flytbar,90,13/04/2003,El-plads
,77568,13/04/2006,17/04/2006,flytbar,92,11/04/2003,El-plads
,77574,10/04/2006,16/04/2006,flytbar,89,20/02/2006 16.29,El-plads
,77578,06/08/2006,14/08/2006,flytbar,98,02/08/2001 10.58,El-plads
,77579,14/04/2006,21/04/2006,flytbar,157,25/02/1999,El-plads
,77580,14/04/2006,22/04/2006,flytbar,159,21/03/1997,El-plads
,77581,07/04/2006,26/06/2006,flytbar,39,21/02/2006 15.49,El-plads
,77586,10/04/2006,16/04/2006,flytbar,119,21/04/2005 16.43,El-plads
,77587,12/04/2006,17/04/2006,flytbar,121,21/04/2005 16.43,El-plads
,77588,12/04/2006,17/04/2006,flytbar,123,21/04/2005 16.43,El-plads
,77599,19/07/2006,31/07/2006,flytbar,92,27/02/2006 12.56,El-plads
,77600,19/07/2006,31/07/2006,flytbar,94,27/02/2006 12.56,El-plads
,77602,03/07/2006,07/07/2006,flytbar,232,13/02/2006 13.51,El-plads
,77604,20/07/2006,03/08/2006,flytbar,242,15/01/2006 20.16,El-plads
,77605,08/07/2006,20/07/2006,flytbar,96,08/02/2006,El-plads
,77615,07/04/2006,30/06/2006,flytbar,6,19/02/2002,El-plads
,77621,07/04/2006,30/06/2006,flytbar,34,22/02/2006 11.23,El-plads
,77622,12/08/2006,28/10/2006,flytbar,34,22/02/2006 11.23,El-plads
,77623,11/05/2006,14/05/2006,flytbar,92,03/04/2004 15.21,El-plads
,77625,07/04/2006,05/06/2006,flytbar,96,02/03/2006,El-plads
,77626,07/04/2006,28/06/2006,flytbar,98,02/03/2006 10.04,El-plads
,77627,15/07/2006,04/08/2006,flytbar,99,02/02/1996,El-plads
,77638,22/07/2006,29/07/2006,flytbar,32,13/02/2006 14.31,El-plads
,77639,22/07/2006,29/07/2006,flytbar,344,12/07/2003,El-plads
,77641,10/04/2006,16/04/2006,flytbar,91,03/03/2006 12.17,El-plads
,77661,15/07/2006,27/07/2006,flytbar,95,06/03/2006 11.06,El-plads
,77662,15/07/2006,27/07/2006,flytbar,97,06/03/2006 11.06,El-plads
,77691,07/04/2006,26/06/2006,flytbar,45,17/10/2005 12.32,El-plads
,77717,22/07/2006,30/07/2006,flytbar,66,09/03/2006 08.19,El-plads
,77718,20/07/2006,29/07/2006,flytbar,64,09/03/2006 08.23,El-plads
